group_name,file_name,nodule_name,nodule_size(pixels),nodule_size(mm2)
302 ts Soil,IMG_0307,IMG_0307_1,4458,84.515780424
302 ts Soil,IMG_0307,IMG_0307_2,110,2.08540508
302 ts Soil,IMG_0307,IMG_0307_3,1368,25.934855904
302 ts Soil,IMG_0307,IMG_0307_4,2647,50.182429516
302 ts Soil,IMG_0307,IMG_0307_5,1292,24.494030576
302 ts Soil,IMG_0307,IMG_0307_6,559,10.597649452
302 ts Soil,IMG_0307,IMG_0307_7,3402,64.495891656
302 ts Soil,IMG_0307,IMG_0307_8,1535,29.100879980000002
302 ts Soil,IMG_0307,IMG_0307_9,249,4.720598772
302 ts Soil,IMG_0307,IMG_0307_10,982,18.616979896
302 ts Soil,IMG_0307,IMG_0307_11,6115,115.92956422
302 ts Soil,IMG_0307,IMG_0307_12,149,2.8247759720000003
302 ts Soil,IMG_0307,IMG_0307_13,1984,37.613124352
302 ts Soil,IMG_0307,IMG_0307_14,2354,44.627668712
302 ts Soil,IMG_0307,IMG_0307_15,73,1.383950644
302 ts Soil,IMG_0307,IMG_0307_16,248,4.701640544
302 ts Soil,IMG_0307,IMG_0307_17,3991,75.662287948
302 ts Soil,IMG_0307,IMG_0307_18,2184,41.404769952
302 ts Soil,IMG_0307,IMG_0307_19,599,11.355978572
302 ts Soil,IMG_0307,IMG_0307_20,1674,31.736073672
302 ts Soil,IMG_0307,IMG_0307_21,1547,29.328378716
302 ts Soil,IMG_0307,IMG_0307_22,803,15.223457084
302 ts Soil,IMG_0307,IMG_0307_23,414,7.848706392
302 ts Soil,IMG_0307,IMG_0307_24,6183,117.218723724
302 ts Soil,IMG_0307,IMG_0307_25,492,9.327448176
302 ts Soil,IMG_0307,IMG_0307_26,1125,21.3280065
302 ts Soil,IMG_0307,IMG_0307_27,2771,52.533249788
302 ts Soil,IMG_0307,IMG_0307_28,4481,84.951819668
302 ts Soil,IMG_0307,IMG_0307_29,939,17.801776092
302 ts Soil,IMG_0307,IMG_0307_30,3560,67.49129168
205 ps Water,IMG_0636,IMG_0636_1,1357,26.774796018
205 ps Water,IMG_0636,IMG_0636_2,3593,70.893030282
205 ps Water,IMG_0636,IMG_0636_3,5338,105.323405412
205 ps Water,IMG_0636,IMG_0636_4,4429,87.38804094599999
205 ps Water,IMG_0636,IMG_0636_5,420,8.28696708
205 ps Water,IMG_0636,IMG_0636_6,966,19.060024284
205 ps Water,IMG_0636,IMG_0636_7,908,17.915633592
205 ps Water,IMG_0636,IMG_0636_8,2012,39.698518488
205 ps Water,IMG_0636,IMG_0636_9,1322,26.084215428
205 ps Water,IMG_0636,IMG_0636_10,10495,207.07552263
205 ps Water,IMG_0636,IMG_0636_11,3303,65.171076822
205 ps Water,IMG_0636,IMG_0636_12,1037,20.460916338
205 ps Water,IMG_0636,IMG_0636_13,2845,56.13433653
205 ps Water,IMG_0636,IMG_0636_14,76,1.4995464239999998
205 ps Water,IMG_0636,IMG_0636_15,2751,54.279634374
205 ps Water,IMG_0636,IMG_0636_16,840,16.57393416
205 ps Water,IMG_0636,IMG_0636_17,1209,23.854626665999998
205 ps Water,IMG_0636,IMG_0636_18,1189,23.460009185999997
205 ps Water,IMG_0636,IMG_0636_19,838,16.534472412
205 ps Water,IMG_0636,IMG_0636_20,2369,46.742440505999994
205 ps Water,IMG_0636,IMG_0636_21,206,4.064560043999999
205 ps Water,IMG_0636,IMG_0636_22,521,10.279785354
205 ps Water,IMG_0636,IMG_0636_23,766,15.113849484
205 ps Water,IMG_0636,IMG_0636_24,310,6.11657094
205 ps Water,IMG_0636,IMG_0636_25,1823,35.969383302
205 ps Water,IMG_0636,IMG_0636_26,836,16.495010664
205 ps Water,IMG_0636,IMG_0636_27,908,17.915633592
205 ps Water,IMG_0636,IMG_0636_28,1325,26.143408049999998
205 ps Water,IMG_0636,IMG_0636_29,1044,20.599032456
205 ps Water,IMG_0636,IMG_0636_30,633,12.489643242
205 ps Water,IMG_0636,IMG_0636_31,178,3.5120955719999998
205 ps Water,IMG_0636,IMG_0636_32,1944,38.356819056
205 ps Water,IMG_0636,IMG_0636_33,359,7.083383766
205 ps Water,IMG_0636,IMG_0636_34,5051,99.66064457399999
205 ps Water,IMG_0636,IMG_0636_35,421,8.306697953999999
205 ps Water,IMG_0636,IMG_0636_36,1201,23.696779674
205 ps Water,IMG_0636,IMG_0636_37,948,18.704868552
205 ps Water,IMG_0636,IMG_0636_38,2179,42.993574446
205 ps Water,IMG_0636,IMG_0636_39,417,8.227774457999999
205 ps Water,IMG_0636,IMG_0636_40,8443,166.587769182
205 ps Water,IMG_0636,IMG_0636_41,285,5.62329909
205 ps Water,IMG_0636,IMG_0636_42,488,9.628666511999999
205 ps Water,IMG_0636,IMG_0636_43,1423,28.077033701999998
205 ps Water,IMG_0636,IMG_0636_44,1669,32.930828706
203 ts Water,IMG_0672,IMG_0672_1,5552,108.605658976
203 ts Water,IMG_0672,IMG_0672_2,79,1.545361502
203 ts Water,IMG_0672,IMG_0672_3,2196,42.957137448
203 ts Water,IMG_0672,IMG_0672_4,1124,21.987168712
203 ts Water,IMG_0672,IMG_0672_5,219,4.283976822
203 ts Water,IMG_0672,IMG_0672_6,1186,23.199984068
203 ts Water,IMG_0672,IMG_0672_7,1623,31.748376174
203 ts Water,IMG_0672,IMG_0672_8,179,3.501515302
203 ts Water,IMG_0672,IMG_0672_9,907,17.742314966
203 ts Water,IMG_0672,IMG_0672_10,940,18.38784572
203 ts Water,IMG_0672,IMG_0672_11,705,13.79088429
203 ts Water,IMG_0672,IMG_0672_12,1911,37.382099118
203 ts Water,IMG_0672,IMG_0672_13,328,6.416184464
203 ts Water,IMG_0672,IMG_0672_14,598,11.697799724
203 ts Water,IMG_0672,IMG_0672_15,675,13.20403815
203 ts Water,IMG_0672,IMG_0672_16,3971,77.678867398
203 ts Water,IMG_0672,IMG_0672_17,1665,32.56996077
203 ts Water,IMG_0672,IMG_0672_18,227,4.440469126
203 ts Water,IMG_0672,IMG_0672_19,1504,29.420553152
203 ts Water,IMG_0672,IMG_0672_20,1019,19.933207222
203 ts Water,IMG_0672,IMG_0672_21,1338,26.173337844
203 ts Water,IMG_0672,IMG_0672_22,1224,23.943322511999998
203 ts Water,IMG_0672,IMG_0672_23,317,6.201007546
203 ts Water,IMG_0672,IMG_0672_24,2497,48.845160385999996
203 ts Water,IMG_0672,IMG_0672_25,1995,39.02526831
203 ts Water,IMG_0672,IMG_0672_26,1155,22.59357639
203 ts Water,IMG_0672,IMG_0672_27,564,11.032707432
203 ts Water,IMG_0672,IMG_0672_28,1828,35.758491464
203 ts Water,IMG_0672,IMG_0672_29,141,2.758176858
203 ts Water,IMG_0672,IMG_0672_30,454,8.880938252
203 ts Water,IMG_0672,IMG_0672_31,559,10.934899742
203 ts Water,IMG_0672,IMG_0672_32,1705,33.35242229
203 ts Water,IMG_0672,IMG_0672_33,251,4.909946038
203 ts Water,IMG_0672,IMG_0672_34,1741,34.056637658
203 ts Water,IMG_0672,IMG_0672_35,158,3.090723004
203 ts Water,IMG_0672,IMG_0672_36,387,7.570315206
203 ts Water,IMG_0672,IMG_0672_37,807,15.786161166
203 ts Water,IMG_0672,IMG_0672_38,352,6.885661376
203 ts Water,IMG_0672,IMG_0672_39,1800,35.2107684
203 ts Water,IMG_0672,IMG_0672_40,2908,56.884952504
203 ts Water,IMG_0672,IMG_0672_41,78,1.525799964
203 ts Water,IMG_0672,IMG_0672_42,741,14.495099657999999
203 ts Water,IMG_0672,IMG_0672_43,772,15.101507336
203 ts Water,IMG_0672,IMG_0672_44,2488,48.669106544
203 ts Water,IMG_0672,IMG_0672_45,77,1.506238426
203 ts Water,IMG_0672,IMG_0672_46,220,4.30353836
203 ts Water,IMG_0672,IMG_0672_47,502,9.819892076
203 ts Water,IMG_0672,IMG_0672_48,182,3.560199916
203 ts Water,IMG_0672,IMG_0672_49,1744,34.115322272
203 ts Water,IMG_0672,IMG_0672_50,708,13.849568904
203 ts Water,IMG_0672,IMG_0672_51,703,13.751761214
203 ts Water,IMG_0672,IMG_0672_52,842,16.470814996
203 ts Water,IMG_0672,IMG_0672_53,461,9.017869018
203 ts Water,IMG_0672,IMG_0672_54,397,7.765930586
203 ts Water,IMG_0672,IMG_0672_55,671,13.125791998
203 ts Water,IMG_0672,IMG_0672_56,1043,20.402684134
203 ts Water,IMG_0672,IMG_0672_57,3319,64.924744622
203 ts Water,IMG_0672,IMG_0672_58,675,13.20403815
203 ts Water,IMG_0672,IMG_0672_59,849,16.607745762
203 ts Water,IMG_0672,IMG_0672_60,804,15.727476552
203 ts Water,IMG_0672,IMG_0672_61,113,2.210453794
203 ts Water,IMG_0672,IMG_0672_62,1611,31.513637718
203 ts Water,IMG_0672,IMG_0672_63,3840,75.11630592
203 ts Water,IMG_0672,IMG_0672_64,1833,35.856299154
203 ts Water,IMG_0672,IMG_0672_65,392,7.668122896
203 ts Water,IMG_0672,IMG_0672_66,806,15.766599628
203 ts Water,IMG_0672,IMG_0672_67,113,2.210453794
203 ts Water,IMG_0672,IMG_0672_68,75,1.46711535
203 ts Water,IMG_0672,IMG_0672_69,2053,40.159837514
203 ts Water,IMG_0672,IMG_0672_70,936,18.309599568
203 ts Water,IMG_0672,IMG_0672_71,736,14.397291968
203 ts Water,IMG_0672,IMG_0672_72,209,4.088361442
203 ts Water,IMG_0672,IMG_0672_73,1553,30.379068514
203 ts Water,IMG_0672,IMG_0672_74,771,15.081945798
203 ts Water,IMG_0672,IMG_0672_75,388,7.589876744
203 ts Water,IMG_0672,IMG_0672_76,914,17.879245732
203 ts Water,IMG_0672,IMG_0672_77,493,9.643838234
203 ts Water,IMG_0672,IMG_0672_78,917,17.937930345999998
203 ts Water,IMG_0672,IMG_0672_79,251,4.909946038
203 ts Water,IMG_0672,IMG_0672_80,1301,25.449560938
203 ts Water,IMG_0672,IMG_0672_81,1339,26.192899382
203 ts Water,IMG_0672,IMG_0672_82,322,6.298815236
203 ts Water,IMG_0672,IMG_0672_83,493,9.643838234
203 ts Water,IMG_0672,IMG_0672_84,74,1.447553812
203 ts Water,IMG_0672,IMG_0672_85,364,7.120399832
203 ts Water,IMG_0672,IMG_0672_86,491,9.604715158
201 ts Soil,IMG_0739,IMG_0739_1,870,16.93057671
201 ts Soil,IMG_0739,IMG_0739_2,1096,21.328634568
201 ts Soil,IMG_0739,IMG_0739_3,1171,22.788167042999998
201 ts Soil,IMG_0739,IMG_0739_4,422,8.212302725999999
201 ts Soil,IMG_0739,IMG_0739_5,948,18.448490484
201 ts Soil,IMG_0739,IMG_0739_6,431,8.387446622999999
201 ts Soil,IMG_0739,IMG_0739_7,1905,37.072124865
201 ts Soil,IMG_0739,IMG_0739_8,397,7.725791901
201 ts Soil,IMG_0739,IMG_0739_9,907,17.650612731
201 ts Soil,IMG_0739,IMG_0739_10,1213,23.605505229
201 ts Soil,IMG_0739,IMG_0739_11,1636,31.837268388
201 ts Soil,IMG_0739,IMG_0739_12,1420,27.633814859999998
201 ts Soil,IMG_0739,IMG_0739_13,505,9.827518665
201 ts Soil,IMG_0739,IMG_0739_14,184,3.580719672
201 ts Soil,IMG_0739,IMG_0739_15,422,8.212302725999999
201 ts Soil,IMG_0739,IMG_0739_16,702,13.661223966
201 ts Soil,IMG_0739,IMG_0739_17,732,14.245036956
201 ts Soil,IMG_0739,IMG_0739_18,843,16.405145019
201 ts Soil,IMG_0739,IMG_0739_19,4231,82.337092023
201 ts Soil,IMG_0739,IMG_0739_20,2282,44.408708106
201 ts Soil,IMG_0739,IMG_0739_21,78,1.517913774
201 ts Soil,IMG_0739,IMG_0739_22,919,17.884137926999998
201 ts Soil,IMG_0739,IMG_0739_23,464,9.029640912
201 ts Soil,IMG_0739,IMG_0739_24,563,10.956223779
201 ts Soil,IMG_0739,IMG_0739_25,493,9.593993468999999
201 ts Soil,IMG_0739,IMG_0739_26,1266,24.636908178
201 ts Soil,IMG_0739,IMG_0739_27,80,1.55683464
201 ts Soil,IMG_0739,IMG_0739_28,312,6.071655096
201 ts Soil,IMG_0739,IMG_0739_29,3079,59.918673207
201 ts Soil,IMG_0739,IMG_0739_30,427,8.309604891
201 ts Soil,IMG_0739,IMG_0739_31,389,7.570108437
201 ts Soil,IMG_0739,IMG_0739_32,1820,35.41798806
201 ts Soil,IMG_0739,IMG_0739_33,1654,32.187556182
201 ts Soil,IMG_0739,IMG_0739_34,305,5.935432065
201 ts Soil,IMG_0739,IMG_0739_35,1345,26.174282384999998
201 ts Soil,IMG_0739,IMG_0739_36,284,5.526762972
201 ts Soil,IMG_0739,IMG_0739_37,1948,37.908923484
201 ts Soil,IMG_0739,IMG_0739_38,981,19.090684773
104 ps Soil,IMG_0474,IMG_0474_1,1616,32.103006752
104 ps Soil,IMG_0474,IMG_0474_2,635,12.61473347
104 ps Soil,IMG_0474,IMG_0474_3,862,17.124252364
104 ps Soil,IMG_0474,IMG_0474_4,1692,33.612801624
104 ps Soil,IMG_0474,IMG_0474_5,2063,40.982984486
104 ps Soil,IMG_0474,IMG_0474_6,1048,20.819276656
104 ps Soil,IMG_0474,IMG_0474_7,4760,94.56083672
104 ps Soil,IMG_0474,IMG_0474_8,2913,57.868848185999994
104 ps Soil,IMG_0474,IMG_0474_9,735,14.601305669999999
104 ps Soil,IMG_0474,IMG_0474_10,2494,49.545110668
104 ps Soil,IMG_0474,IMG_0474_11,1884,37.427020248
104 ps Soil,IMG_0474,IMG_0474_12,765,15.197277329999999
104 ps Soil,IMG_0474,IMG_0474_13,624,12.396210528
104 ps Soil,IMG_0474,IMG_0474_14,2640,52.445506079999994
104 ps Soil,IMG_0474,IMG_0474_15,1635,32.480455469999995
104 ps Soil,IMG_0474,IMG_0474_16,3026,60.113674771999996
104 ps Soil,IMG_0474,IMG_0474_17,310,6.1583738199999996
104 ps Soil,IMG_0474,IMG_0474_18,1344,26.699530367999998
104 ps Soil,IMG_0474,IMG_0474_19,983,19.528004726
104 ps Soil,IMG_0474,IMG_0474_20,5553,110.314354266
104 ps Soil,IMG_0474,IMG_0474_21,4966,98.653175452
104 ps Soil,IMG_0474,IMG_0474_22,2549,50.637725378
104 ps Soil,IMG_0474,IMG_0474_23,2495,49.56497639
104 ps Soil,IMG_0474,IMG_0474_24,9374,186.221278028
104 ps Soil,IMG_0474,IMG_0474_25,935,18.574450069999997
104 ps Soil,IMG_0474,IMG_0474_26,3617,71.854316474
104 ps Soil,IMG_0474,IMG_0474_27,422,8.383334684
104 ps Soil,IMG_0474,IMG_0474_28,1425,28.30865385
104 ps Soil,IMG_0474,IMG_0474_29,1417,28.149728074
104 ps Soil,IMG_0474,IMG_0474_30,1523,30.255494606
104 ps Soil,IMG_0474,IMG_0474_31,9304,184.830677488
104 ps Soil,IMG_0474,IMG_0474_32,2119,42.095464918
104 ps Soil,IMG_0474,IMG_0474_33,316,6.277568152
104 ps Soil,IMG_0474,IMG_0474_34,4714,93.647013508
104 ps Soil,IMG_0474,IMG_0474_35,1159,23.024371797999997
104 ps Soil,IMG_0474,IMG_0474_36,523,10.389772606
104 ps Soil,IMG_0474,IMG_0474_37,2148,42.671570855999995
104 ps Soil,IMG_0474,IMG_0474_38,320,6.35703104
104 ps Soil,IMG_0474,IMG_0474_39,1518,30.156165996
104 ps Soil,IMG_0474,IMG_0474_40,2012,39.969832663999995
104 ps Soil,IMG_0474,IMG_0474_41,922,18.316195684
104 ps Soil,IMG_0474,IMG_0474_42,699,13.886139678
104 ps Soil,IMG_0474,IMG_0474_43,3743,74.357397446
104 ps Soil,IMG_0474,IMG_0474_44,995,19.766393389999998
104 ps Soil,IMG_0474,IMG_0474_45,1638,32.540052636
104 ps Soil,IMG_0474,IMG_0474_46,2958,58.762805676
104 ps Soil,IMG_0474,IMG_0474_47,805,15.99190621
104 ps Soil,IMG_0474,IMG_0474_48,735,14.601305669999999
104 ps Soil,IMG_0474,IMG_0474_49,2208,43.863514175999995
104 ps Soil,IMG_0474,IMG_0474_50,912,18.117538464
104 ps Soil,IMG_0474,IMG_0474_51,2932,58.246296904
104 ps Soil,IMG_0474,IMG_0474_52,3603,71.57619636599999
104 ps Soil,IMG_0474,IMG_0474_53,1057,20.998068154
104 ps Soil,IMG_0474,IMG_0474_54,863,17.144118086
104 ps Soil,IMG_0474,IMG_0474_55,4936,98.057203792
104 ps Soil,IMG_0474,IMG_0474_56,1309,26.004230097999997
104 ps Soil,IMG_0474,IMG_0474_57,1151,22.865446022
104 ps Soil,IMG_0474,IMG_0474_58,738,14.660902836
104 ps Soil,IMG_0474,IMG_0474_59,420,8.34360324
104 ps Soil,IMG_0474,IMG_0474_60,1007,20.004782054
104 ps Soil,IMG_0474,IMG_0474_61,1417,28.149728074
104 ps Soil,IMG_0474,IMG_0474_62,355,7.05233131
104 ps Soil,IMG_0474,IMG_0474_63,211,4.191667342
104 ps Soil,IMG_0474,IMG_0474_64,485,9.634875169999999
104 ps Soil,IMG_0474,IMG_0474_65,865,17.18384953
104 ps Soil,IMG_0474,IMG_0474_66,489,9.714338058
104 ps Soil,IMG_0474,IMG_0474_67,587,11.661178814
104 ps Soil,IMG_0474,IMG_0474_68,1295,25.726109989999998
104 ps Soil,IMG_0474,IMG_0474_69,1920,38.14218624
104 ps Soil,IMG_0474,IMG_0474_70,75,1.4899291499999998
104 ps Soil,IMG_0474,IMG_0474_71,1803,35.817896766
104 ps Soil,IMG_0474,IMG_0474_72,186,3.695024292
104 ps Soil,IMG_0474,IMG_0474_73,313,6.217970985999999
104 ps Soil,IMG_0474,IMG_0474_74,204,4.052607288
104 ps Soil,IMG_0474,IMG_0474_75,528,10.489101216
104 ps Soil,IMG_0474,IMG_0474_76,318,6.317299596
104 ps Soil,IMG_0474,IMG_0474_77,379,7.529108637999999
104 ps Soil,IMG_0474,IMG_0474_78,456,9.058769232
104 ps Soil,IMG_0474,IMG_0474_79,528,10.489101216
104 ps Soil,IMG_0474,IMG_0474_80,355,7.05233131
104 ps Soil,IMG_0474,IMG_0474_81,498,9.893129556
104 ps Soil,IMG_0474,IMG_0474_82,1267,25.169869774
104 ps Soil,IMG_0474,IMG_0474_83,317,6.297433873999999
104 ps Soil,IMG_0474,IMG_0474_84,1072,21.296053984
104 ps Soil,IMG_0474,IMG_0474_85,2447,48.611421734
104 ps Soil,IMG_0474,IMG_0474_86,384,7.628437247999999
101 ts Water,IMG_0177,IMG_0177_1,559,9.415574076999999
101 ts Water,IMG_0177,IMG_0177_2,5548,93.44830944399999
101 ts Water,IMG_0177,IMG_0177_3,1642,27.657196126
101 ts Water,IMG_0177,IMG_0177_4,272,4.581460015999999
101 ts Water,IMG_0177,IMG_0177_5,1194,20.111261982
101 ts Water,IMG_0177,IMG_0177_6,8879,149.55435103699998
101 ts Water,IMG_0177,IMG_0177_7,3942,66.39748302599999
101 ts Water,IMG_0177,IMG_0177_8,1357,22.856769270999997
101 ts Water,IMG_0177,IMG_0177_9,2532,42.648002796
101 ts Water,IMG_0177,IMG_0177_10,175,2.9476305249999997
101 ts Water,IMG_0177,IMG_0177_11,1671,28.145660612999997
101 ts Water,IMG_0177,IMG_0177_12,3547,59.744259840999995
101 ts Water,IMG_0177,IMG_0177_13,1208,20.347072423999997
101 ts Water,IMG_0177,IMG_0177_14,5564,93.71780709199999
101 ts Water,IMG_0177,IMG_0177_15,2015,33.939860044999996
101 ts Water,IMG_0177,IMG_0177_16,1482,24.962219645999998
101 ts Water,IMG_0177,IMG_0177_17,1598,26.916077593999997
101 ts Water,IMG_0177,IMG_0177_18,385,6.484787154999999
101 ts Water,IMG_0177,IMG_0177_19,1341,22.587271623
101 ts Water,IMG_0177,IMG_0177_20,1550,26.107584649999996
101 ts Water,IMG_0177,IMG_0177_21,660,11.116777979999998
101 ts Water,IMG_0177,IMG_0177_22,494,8.320739882
101 ts Water,IMG_0177,IMG_0177_23,1433,24.136883099
101 ts Water,IMG_0177,IMG_0177_24,1346,22.671489637999997
101 ts Water,IMG_0177,IMG_0177_25,668,11.251526804
101 ts Water,IMG_0177,IMG_0177_26,383,6.451099949
101 ts Water,IMG_0177,IMG_0177_27,1209,20.363916027
101 ts Water,IMG_0177,IMG_0177_28,313,5.272047739
101 ts Water,IMG_0177,IMG_0177_29,3453,58.160961158999996
101 ts Water,IMG_0177,IMG_0177_30,10233,172.36058949899999
101 ts Water,IMG_0177,IMG_0177_31,73,1.2295830189999999
106 ps Water,IMG_0407,IMG_0407_1,3297,62.943162177
106 ps Water,IMG_0407,IMG_0407_2,2679,51.144898839
106 ps Water,IMG_0407,IMG_0407_3,139,2.653654699
106 ps Water,IMG_0407,IMG_0407_4,363,6.930047882999999
106 ps Water,IMG_0407,IMG_0407_5,4496,85.833320336
106 ps Water,IMG_0407,IMG_0407_6,6805,129.914534005
106 ps Water,IMG_0407,IMG_0407_7,1558,29.743841877999998
106 ps Water,IMG_0407,IMG_0407_8,2899,55.344927859
106 ps Water,IMG_0407,IMG_0407_9,1020,19.47286182
106 ps Water,IMG_0407,IMG_0407_10,109,2.080923469
106 ps Water,IMG_0407,IMG_0407_11,3185,60.804965585
106 ps Water,IMG_0407,IMG_0407_12,5825,111.20531382499999
106 ps Water,IMG_0407,IMG_0407_13,111,2.119105551
106 ps Water,IMG_0407,IMG_0407_14,214,4.085482774
106 ps Water,IMG_0407,IMG_0407_15,2348,44.825764268
106 ps Water,IMG_0407,IMG_0407_16,2256,43.069388496
106 ps Water,IMG_0407,IMG_0407_17,1550,29.59111355
106 ps Water,IMG_0407,IMG_0407_18,727,13.879186807
106 ps Water,IMG_0407,IMG_0407_19,425,8.113692425
106 ps Water,IMG_0407,IMG_0407_20,903,17.239210023
106 ps Water,IMG_0407,IMG_0407_21,1182,22.565610462
106 ps Water,IMG_0407,IMG_0407_22,839,16.017383399
106 ps Water,IMG_0407,IMG_0407_23,2342,44.711218022
106 ps Water,IMG_0407,IMG_0407_24,2188,41.771197708
106 ps Water,IMG_0407,IMG_0407_25,3914,74.722334474
106 ps Water,IMG_0407,IMG_0407_26,1490,28.44565109
106 ps Water,IMG_0407,IMG_0407_27,842,16.074656521999998
106 ps Water,IMG_0407,IMG_0407_28,1272,24.283804152
106 ps Water,IMG_0407,IMG_0407_29,796,15.196468636
106 ps Water,IMG_0407,IMG_0407_30,3579,68.326835739
106 ps Water,IMG_0407,IMG_0407_31,356,6.796410595999999
106 ps Water,IMG_0407,IMG_0407_32,1317,25.142900996999998
106 ps Water,IMG_0407,IMG_0407_33,525,10.022796525
106 ps Water,IMG_0407,IMG_0407_34,1117,21.324692797
106 ps Water,IMG_0407,IMG_0407_35,3003,57.330396123
106 ps Water,IMG_0407,IMG_0407_36,175,3.340932175
106 ps Water,IMG_0407,IMG_0407_37,912,17.411029392
106 ps Water,IMG_0407,IMG_0407_38,4603,87.87606172299999
106 ps Water,IMG_0407,IMG_0407_39,524,10.003705484
106 ps Water,IMG_0407,IMG_0407_40,4317,82.416023997
106 ps Water,IMG_0407,IMG_0407_41,567,10.824620247
106 ps Water,IMG_0407,IMG_0407_42,935,17.850123335
106 ps Water,IMG_0407,IMG_0407_43,592,11.301896272
106 ps Water,IMG_0407,IMG_0407_44,7699,146.981924659
106 ps Water,IMG_0407,IMG_0407_45,2119,40.453915879
106 ps Water,IMG_0407,IMG_0407_46,1707,32.588406987
106 ps Water,IMG_0407,IMG_0407_47,602,11.492806682
106 ps Water,IMG_0407,IMG_0407_48,353,6.7391374729999995
106 ps Water,IMG_0407,IMG_0407_49,283,5.402764603
106 ps Water,IMG_0407,IMG_0407_50,897,17.124663777
106 ps Water,IMG_0407,IMG_0407_51,487,9.297336967
106 ps Water,IMG_0407,IMG_0407_52,772,14.738283652
106 ps Water,IMG_0407,IMG_0407_53,350,6.68186435
